"","iso2c","country","year","EG.ELC.ACCS.ZS","IT.NET.USER.ZS","IC.BUS.DFRN.XQ","SP.DYN.LE00.IN","NY.GDP.MKTP.KD.ZG","NY.GDP.MKTP.CD","SH.MED.BEDS.ZS","SP.POP.TOTL","EG.CFT.ACCS.ZS","SG.VAW.REAS.ZS","SG.LAW.INDX","SP.M18.2024.FE.ZS","EN.ATM.CO2E.PC","SH.DYN.AIDS.ZS","SL.UEM.TOTL.NE.ZS","SE.PRM.CMPT.ZS","SE.PRM.CMPT.FE.ZS","SE.ADT.LITR.ZS","SE.COM.DURS","NY.GDP.PETR.RT.ZS","per_sa_allsa.adq_pop_tot","SI.DST.10TH.10","SI.DST.FRST.10","SG.GEN.PARL.ZS","SI.POV.MDIM.IT","NE.TRD.GNFS.ZS","SL.TLF.0714.ZS","SG.VAW.1549.ZS","MS.MIL.XPND.GD.ZS","IC.LGL.CRED.XQ","SI.POV.GINI","SG.LAW.NODC.HR","SL.TLF.CACT.ZS","SG.HLD.HEAD.EQ","iso3c","region","capital","longitude","latitude","income","lending"
"1","AD","Andorra",2004,100,26.83795439,NA,NA,8.13567633837351,2894921777.99851,NA,76250,100,NA,NA,NA,7.34426229508197,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"2","AD","Andorra",1980,NA,NA,NA,NA,2.20872760693067,446416105.825017,NA,36063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"3","AD","Andorra",1994,100,0,NA,NA,2.3831822482118,1017549124.33238,NA,62676,NA,NA,NA,NA,6.5415789137788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"4","AD","Andorra",1982,NA,NA,NA,NA,1.24646111342557,375895956.383462,NA,39115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"5","AD","Andorra",2005,100,37.60576622,NA,NA,5.39779598500422,3159905484.39249,2.7,78871,100,NA,NA,NA,7.35378022340277,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,28.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"6","AD","Andorra",1981,NA,NA,NA,NA,-0.132474511474285,388958731.302938,NA,37498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"7","AD","Andorra",1990,100,0,NA,NA,3.78138758962959,1029048481.88051,NA,54508,NA,NA,NA,NA,7.52183165773831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"8","AD","Andorra",1987,NA,NA,NA,NA,5.54712217053779,611316399.407088,NA,48459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"9","AD","Andorra",1995,100,0,NA,NA,2.75750161326249,1178738991.19295,NA,63860,NA,NA,NA,NA,6.73347948637645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"10","AD","Andorra",1996,100,1.526601023,NA,NA,4.64973866754707,1223945356.62682,3.1800000668,64363,NA,NA,NA,NA,6.99159454966363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"11","AD","Andorra",1997,100,3.050175385,NA,NA,9.06767205144135,1180597272.72727,3,64318,NA,NA,NA,NA,7.30744115177711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"12","AD","Andorra",1998,100,6.886209218,NA,NA,3.19479339289236,1211932397.81713,3.0899999142,64140,NA,NA,NA,NA,7.63953850951045,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,7.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"13","AD","Andorra",1983,NA,NA,NA,NA,1.7701183169326,327861832.946636,NA,40854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"14","AD","Andorra",1984,NA,NA,NA,NA,1.78468669356731,330070689.298282,NA,42706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"15","AD","Andorra",1985,NA,NA,NA,NA,2.32143303219976,346737964.774951,NA,44593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"16","AD","Andorra",1986,NA,NA,NA,NA,3.25332177830622,482000594.03588,NA,46520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"17","AD","Andorra",2001,100,NA,NA,NA,8.11935772169949,1546926174.49664,2.5899999142,67344,100,NA,NA,NA,7.72154906153481,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"18","AD","Andorra",2002,100,11.26046872,NA,NA,4.54636221364653,1755910031.99699,NA,70048,100,NA,NA,NA,7.56624029237094,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"19","AD","Andorra",2003,100,13.54641288,NA,NA,8.69420371612468,2361726862.30248,3.2999999523,73180,100,NA,NA,NA,7.24241596064499,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"20","AD","Andorra",2006,100,48.936847,NA,NA,4.80868869916921,3456442102.622,2.6,80995,100,NA,NA,NA,6.79054262608803,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,28.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
